"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","tipID","Comment"
">Amount List","","","","","","",""
"labware_11","A1","MED_A",NA,"16",NA,NA,NA
"labware_11","A2","MED_A",NA,"49",NA,NA,NA
"labware_11","A3","MED_A",NA,"31",NA,NA,NA
"labware_9","A1","AZT","10240","1000",NA,NA,NA
">CommandLines","","","","","","",""
"labware_11","A1","labware_9","A2","725","0","1","Preliminary Dilution_solvent"
"labware_9","A1","labware_9","A2","725","725","2","Preliminary Dilution_drug"
"labware_11","A1","labware_8","A2, B2, C2, D2, E2, F2, G2, H2","1440","0","3","solvent distribution for first stock dilution in deep wells"
"labware_9","A2","labware_8","A2","160","160","4","First dilution to deep wells"
"labware_9","A2","labware_8","B2","160","160","5","First dilution to deep wells"
"labware_9","A2","labware_8","C2","160","160","6","First dilution to deep wells"
"labware_9","A2","labware_8","D2","160","160","7","First dilution to deep wells"
"labware_9","A2","labware_8","E2","160","160","8","First dilution to deep wells"
"labware_9","A2","labware_8","F2","160","160","9","First dilution to deep wells"
"labware_9","A2","labware_8","G2","160","160","10","First dilution to deep wells"
"labware_9","A2","labware_8","H2","160","160","11","First dilution to deep wells"
"labware_11","A2","labware_8","A3, B3, C3, D3, E3, F3, G3, H3, A4, B4, C4, D4, E4, F4, G4, H4, A5, B5, C5, D5, E5, F5, G5, H5, A6, B6, C6, D6, E6, F6, G6, H6, A7, B7, C7, D7, E7, F7, G7, H7, A8, B8, C8, D8, E8, F8, G8, H8, A9, B9, C9, D9, E9, F9, G9, H9, A10, B10, C10, D10, E10, F10, G10, H10, A11, B11, C11, D11, E11, F11, G11, H11","800","0","12","solvent distribution for serial dilution"
"labware_11","A3","labware_8","A11, B11, C11, D11, E11, F11, G11, H11","800","0","13","solvent distribution for serial dilution"
"labware_8","A2, B2, C2, D2, E2, F2, G2, H2","labware_8","A3, B3, C3, D3, E3, F3, G3, H3","800","800","14","Serial dilution with MC pipette"
"labware_8","A3, B3, C3, D3, E3, F3, G3, H3","labware_8","A4, B4, C4, D4, E4, F4, G4, H4","800","800","22","Serial dilution with MC pipette"
"labware_8","A4, B4, C4, D4, E4, F4, G4, H4","labware_8","A5, B5, C5, D5, E5, F5, G5, H5","800","800","30","Serial dilution with MC pipette"
"labware_8","A5, B5, C5, D5, E5, F5, G5, H5","labware_8","A6, B6, C6, D6, E6, F6, G6, H6","800","800","38","Serial dilution with MC pipette"
"labware_8","A6, B6, C6, D6, E6, F6, G6, H6","labware_8","A7, B7, C7, D7, E7, F7, G7, H7","800","800","46","Serial dilution with MC pipette"
"labware_8","A7, B7, C7, D7, E7, F7, G7, H7","labware_8","A8, B8, C8, D8, E8, F8, G8, H8","800","800","54","Serial dilution with MC pipette"
"labware_8","A8, B8, C8, D8, E8, F8, G8, H8","labware_8","A9, B9, C9, D9, E9, F9, G9, H9","800","800","62","Serial dilution with MC pipette"
"labware_8","A9, B9, C9, D9, E9, F9, G9, H9","labware_8","A10, B10, C10, D10, E10, F10, G10, H10","800","800","70","Serial dilution with MC pipette"
"labware_11","A3","labware_8","A1, B1, C1, D1, E1, F1, G1, H1, A12, B12, C12, D12, E12, F12, G12, H12","1300","0","71","Filling outer wells of plate in labware_8"
"labware_8","A1, B1, C1, D1, E1, F1, G1, H1","labware_1","A1, B1, C1, D1, E1, F1, G1, H1","200","200","79","Distributing column 1 to labware_1"
"labware_8","A1, B1, C1, D1, E1, F1, G1, H1","labware_2","A1, B1, C1, D1, E1, F1, G1, H1","200","200","79","Distributing column 1 to labware_2"
"labware_8","A1, B1, C1, D1, E1, F1, G1, H1","labware_4","A1, B1, C1, D1, E1, F1, G1, H1","200","200","79","Distributing column 1 to labware_4"
"labware_8","A1, B1, C1, D1, E1, F1, G1, H1","labware_5","A1, B1, C1, D1, E1, F1, G1, H1","200","200","79","Distributing column 1 to labware_5"
"labware_8","A1, B1, C1, D1, E1, F1, G1, H1","labware_6","A1, B1, C1, D1, E1, F1, G1, H1","200","200","79","Distributing column 1 to labware_6"
"labware_8","A2, B2, C2, D2, E2, F2, G2, H2","labware_1","A2, B2, C2, D2, E2, F2, G2, H2","100","100","87","Distributing column 2 to labware_1"
"labware_8","A2, B2, C2, D2, E2, F2, G2, H2","labware_2","A2, B2, C2, D2, E2, F2, G2, H2","100","100","87","Distributing column 2 to labware_2"
"labware_8","A2, B2, C2, D2, E2, F2, G2, H2","labware_4","A2, B2, C2, D2, E2, F2, G2, H2","100","100","87","Distributing column 2 to labware_4"
"labware_8","A2, B2, C2, D2, E2, F2, G2, H2","labware_5","A2, B2, C2, D2, E2, F2, G2, H2","100","100","87","Distributing column 2 to labware_5"
"labware_8","A2, B2, C2, D2, E2, F2, G2, H2","labware_6","A2, B2, C2, D2, E2, F2, G2, H2","100","100","87","Distributing column 2 to labware_6"
"labware_8","A3, B3, C3, D3, E3, F3, G3, H3","labware_1","A3, B3, C3, D3, E3, F3, G3, H3","100","100","95","Distributing column 3 to labware_1"
"labware_8","A3, B3, C3, D3, E3, F3, G3, H3","labware_2","A3, B3, C3, D3, E3, F3, G3, H3","100","100","95","Distributing column 3 to labware_2"
"labware_8","A3, B3, C3, D3, E3, F3, G3, H3","labware_4","A3, B3, C3, D3, E3, F3, G3, H3","100","100","95","Distributing column 3 to labware_4"
"labware_8","A3, B3, C3, D3, E3, F3, G3, H3","labware_5","A3, B3, C3, D3, E3, F3, G3, H3","100","100","95","Distributing column 3 to labware_5"
"labware_8","A3, B3, C3, D3, E3, F3, G3, H3","labware_6","A3, B3, C3, D3, E3, F3, G3, H3","100","100","95","Distributing column 3 to labware_6"
"labware_8","A4, B4, C4, D4, E4, F4, G4, H4","labware_1","A4, B4, C4, D4, E4, F4, G4, H4","100","100","103","Distributing column 4 to labware_1"
"labware_8","A4, B4, C4, D4, E4, F4, G4, H4","labware_2","A4, B4, C4, D4, E4, F4, G4, H4","100","100","103","Distributing column 4 to labware_2"
"labware_8","A4, B4, C4, D4, E4, F4, G4, H4","labware_4","A4, B4, C4, D4, E4, F4, G4, H4","100","100","103","Distributing column 4 to labware_4"
"labware_8","A4, B4, C4, D4, E4, F4, G4, H4","labware_5","A4, B4, C4, D4, E4, F4, G4, H4","100","100","103","Distributing column 4 to labware_5"
"labware_8","A4, B4, C4, D4, E4, F4, G4, H4","labware_6","A4, B4, C4, D4, E4, F4, G4, H4","100","100","103","Distributing column 4 to labware_6"
"labware_8","A5, B5, C5, D5, E5, F5, G5, H5","labware_1","A5, B5, C5, D5, E5, F5, G5, H5","100","100","111","Distributing column 5 to labware_1"
"labware_8","A5, B5, C5, D5, E5, F5, G5, H5","labware_2","A5, B5, C5, D5, E5, F5, G5, H5","100","100","111","Distributing column 5 to labware_2"
"labware_8","A5, B5, C5, D5, E5, F5, G5, H5","labware_4","A5, B5, C5, D5, E5, F5, G5, H5","100","100","111","Distributing column 5 to labware_4"
"labware_8","A5, B5, C5, D5, E5, F5, G5, H5","labware_5","A5, B5, C5, D5, E5, F5, G5, H5","100","100","111","Distributing column 5 to labware_5"
"labware_8","A5, B5, C5, D5, E5, F5, G5, H5","labware_6","A5, B5, C5, D5, E5, F5, G5, H5","100","100","111","Distributing column 5 to labware_6"
"labware_8","A6, B6, C6, D6, E6, F6, G6, H6","labware_1","A6, B6, C6, D6, E6, F6, G6, H6","100","100","119","Distributing column 6 to labware_1"
"labware_8","A6, B6, C6, D6, E6, F6, G6, H6","labware_2","A6, B6, C6, D6, E6, F6, G6, H6","100","100","119","Distributing column 6 to labware_2"
"labware_8","A6, B6, C6, D6, E6, F6, G6, H6","labware_4","A6, B6, C6, D6, E6, F6, G6, H6","100","100","119","Distributing column 6 to labware_4"
"labware_8","A6, B6, C6, D6, E6, F6, G6, H6","labware_5","A6, B6, C6, D6, E6, F6, G6, H6","100","100","119","Distributing column 6 to labware_5"
"labware_8","A6, B6, C6, D6, E6, F6, G6, H6","labware_6","A6, B6, C6, D6, E6, F6, G6, H6","100","100","119","Distributing column 6 to labware_6"
"labware_8","A7, B7, C7, D7, E7, F7, G7, H7","labware_1","A7, B7, C7, D7, E7, F7, G7, H7","100","100","127","Distributing column 7 to labware_1"
"labware_8","A7, B7, C7, D7, E7, F7, G7, H7","labware_2","A7, B7, C7, D7, E7, F7, G7, H7","100","100","127","Distributing column 7 to labware_2"
"labware_8","A7, B7, C7, D7, E7, F7, G7, H7","labware_4","A7, B7, C7, D7, E7, F7, G7, H7","100","100","127","Distributing column 7 to labware_4"
"labware_8","A7, B7, C7, D7, E7, F7, G7, H7","labware_5","A7, B7, C7, D7, E7, F7, G7, H7","100","100","127","Distributing column 7 to labware_5"
"labware_8","A7, B7, C7, D7, E7, F7, G7, H7","labware_6","A7, B7, C7, D7, E7, F7, G7, H7","100","100","127","Distributing column 7 to labware_6"
"labware_8","A8, B8, C8, D8, E8, F8, G8, H8","labware_1","A8, B8, C8, D8, E8, F8, G8, H8","100","100","135","Distributing column 8 to labware_1"
"labware_8","A8, B8, C8, D8, E8, F8, G8, H8","labware_2","A8, B8, C8, D8, E8, F8, G8, H8","100","100","135","Distributing column 8 to labware_2"
"labware_8","A8, B8, C8, D8, E8, F8, G8, H8","labware_4","A8, B8, C8, D8, E8, F8, G8, H8","100","100","135","Distributing column 8 to labware_4"
"labware_8","A8, B8, C8, D8, E8, F8, G8, H8","labware_5","A8, B8, C8, D8, E8, F8, G8, H8","100","100","135","Distributing column 8 to labware_5"
"labware_8","A8, B8, C8, D8, E8, F8, G8, H8","labware_6","A8, B8, C8, D8, E8, F8, G8, H8","100","100","135","Distributing column 8 to labware_6"
"labware_8","A9, B9, C9, D9, E9, F9, G9, H9","labware_1","A9, B9, C9, D9, E9, F9, G9, H9","100","100","143","Distributing column 9 to labware_1"
"labware_8","A9, B9, C9, D9, E9, F9, G9, H9","labware_2","A9, B9, C9, D9, E9, F9, G9, H9","100","100","143","Distributing column 9 to labware_2"
"labware_8","A9, B9, C9, D9, E9, F9, G9, H9","labware_4","A9, B9, C9, D9, E9, F9, G9, H9","100","100","143","Distributing column 9 to labware_4"
"labware_8","A9, B9, C9, D9, E9, F9, G9, H9","labware_5","A9, B9, C9, D9, E9, F9, G9, H9","100","100","143","Distributing column 9 to labware_5"
"labware_8","A9, B9, C9, D9, E9, F9, G9, H9","labware_6","A9, B9, C9, D9, E9, F9, G9, H9","100","100","143","Distributing column 9 to labware_6"
"labware_8","A10, B10, C10, D10, E10, F10, G10, H10","labware_1","A10, B10, C10, D10, E10, F10, G10, H10","100","100","151","Distributing column 10 to labware_1"
"labware_8","A10, B10, C10, D10, E10, F10, G10, H10","labware_2","A10, B10, C10, D10, E10, F10, G10, H10","100","100","151","Distributing column 10 to labware_2"
"labware_8","A10, B10, C10, D10, E10, F10, G10, H10","labware_4","A10, B10, C10, D10, E10, F10, G10, H10","100","100","151","Distributing column 10 to labware_4"
"labware_8","A10, B10, C10, D10, E10, F10, G10, H10","labware_5","A10, B10, C10, D10, E10, F10, G10, H10","100","100","151","Distributing column 10 to labware_5"
"labware_8","A10, B10, C10, D10, E10, F10, G10, H10","labware_6","A10, B10, C10, D10, E10, F10, G10, H10","100","100","151","Distributing column 10 to labware_6"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_1","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_1"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_2","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_2"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_4","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_4"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_5","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_5"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_6","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_6"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_1","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_1"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_2","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_2"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_4","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_4"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_5","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_5"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_6","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_6"
">DeckMap","","","","","","",""
"labware_1","96-well_4",NA,NA,NA,NA,NA,NA
"labware_2","96-well_5",NA,NA,NA,NA,NA,NA
"labware_3","(empty)",NA,NA,NA,NA,NA,NA
"labware_4","96-well_1",NA,NA,NA,NA,NA,NA
"labware_5","96-well_2",NA,NA,NA,NA,NA,NA
"labware_6","96-well_3",NA,NA,NA,NA,NA,NA
"labware_7","tip",NA,NA,NA,NA,NA,NA
"labware_8","DeepWell",NA,NA,NA,NA,NA,NA
"labware_9","Stock_1.5",NA,NA,NA,NA,NA,NA
"labware_10","tip",NA,NA,NA,NA,NA,NA
"labware_11","solvent_50",NA,NA,NA,NA,NA,NA
"labware_12","TRASH",NA,NA,NA,NA,NA,NA
